name,number,address,access,time,rest,takeout,map,introduce,shop_image
炭火焼肉呼友,050-3374-4782,兵庫県小野市大島町1637,神戸電鉄粟生線小野駅徒歩15分,ディナー：17:00～22:00,毎週月曜日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
「和民」 小野店,050-3464-5863,兵庫県小野市敷地町ナカヲ1502-10,神戸電鉄粟生線小野駅徒歩22分,ディナー：17:00～23:00（金・土 ディナー：17:00～24:00）,無,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
ファミリー居酒屋 しゃかりき 小野店,050-3461-5156,兵庫県小野市古川町字溝向40-2,ＪＲ加古川線河合西駅徒歩41分,ランチ：11:30～14:30（L.O.14:30、ドリンクL.O.14:30）、ディナー：17:00～翌1:00（L.O.24:00、ドリンクL.O.24:30）,無,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
サイゼリヤ イオン小野店,0794-64-9750,兵庫県小野市王子町868-1 イオン小野1F,神戸電鉄粟生線葉多駅車8分,10:00～22:00,無,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
ミルカーズ,0794-63-7497,兵庫県小野市浄谷町1544,神戸電鉄粟生線小野駅車15分,10:00～17:00（ランチ：11:00～15:00（L.O.14:30））,"毎週月曜日
",,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
産直海鮮居酒家 浜焼太郎 小野店,050-3373-2231,兵庫県小野市上本町9-7,神戸電鉄粟生線小野駅13分,17:00～24:00,不定休日あり,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
万勝寺創庵,0794-67-2111,兵庫県小野市万勝寺町550-9,神戸電鉄粟生線小野駅車25分,ランチ：10:30～15:00(L.O.15:00),毎週月曜日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
花　きゃべつ,0794-63-2638,兵庫県小野市市場町1527,神戸電鉄粟生線市場駅徒歩8,ランチ：11:00～14:00(L.O.14:00)、ディナー：17:00～22:00(L.O.21:00),毎週水曜日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
ぷらっときすみの,0794-62-5116,兵庫県小野市下来住町484,山陽自動車道三木小野I.C.車10分,8:00～16:00,"毎週水曜日
",,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
芦屋cafe＆sweets Kagura,0794-63-5552,兵庫県小野市王子町260-1 プリンスハイツ101,ＪＲ加古川線粟生駅徒歩20分,8:00～18:30(L.O.18:30)（モーニング：8:00～11:00(L.O.11:00)、ランチ：11:00～15:00(L.O.15:00)）,毎週水曜日,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3273.9637811979896!2d134.93509731566834!3d34.857137382330706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x35552de92e9631f1%3A0x80fe880b602b0b19!2z5ZKM5rCRIOWwj-mHjuW6lw!5e0!3m2!1sja!2sjp!4v1595825816949!5m2!1sja!2sjp,,watami.jpg
